sex,state,name,estimate
female,cohab,"Sep#1G, Bangladesh",-1.16E+01
female,cohab,"Sep#1G, Caribbean",0.20098301
female,cohab,"Sep#1G, African",-0.027328341
female,cohab,"Sep#1G, Other",0.104967038
female,cohab,"Sep#2G, EW",-0.011089664
female,cohab,"Sep#2G, India",0.427763312
female,cohab,"Sep#2G, Pakistan",0.68402722
female,cohab,"Sep#2G, Bangladesh",0.263568923
female,cohab,"Sep#2G, Caribbean",0.438215575
female,cohab,"Sep#2G, African",0.392551418
female,cohab,"Sep#2G, Other",0.221683286
female,cohab,"B#, Native",0.081147635
female,cohab,"B#1G, EW",-0.47341745
female,cohab,"B#1G, India",0.309820939
female,cohab,"B#1G, Pakistan",0.261416123
female,cohab,"B#1G, Bangladesh",0.384271434
female,cohab,"B#1G, Caribbean",0.452271083
female,cohab,"B#1G, African",0.312527844
female,cohab,"B#1G, Other",-0.092721394
female,cohab,"B#2G, EW",-0.122885519
female,cohab,"B#2G, India",-0.825034212
female,cohab,"B#2G, Pakistan",0.460918736
female,cohab,"B#2G, Bangladesh",0.263568923
female,cohab,"B#2G, Caribbean",0.453027853
female,cohab,"B#2G, African",-0.351893962
female,cohab,"B#2G, Other",-0.120062168
female,cohab,constant,-4.677224883
female,cohab,cohort_80_03,0
female,cohab,Parity_0,0
female,cohab,Parity_1,0.065322276
female,cohab,Parity_2,-0.249868759
female,cohab,Parity_3+,-0.26130139
male,cohab,age_16_19,0.073531092
male,cohab,age_20_24,0
male,cohab,age_25_29,-0.030983778
male,cohab,age_30_34,0.029292747
male,cohab,age_35_39,-0.135265696
male,cohab,age_40_44,-0.442747749
male,cohab,age_45_49,-1.02954566
male,cohab,"M#, Native",-0.003185769
male,cohab,"M#1G, EW",0.287448545
male,cohab,"M#1G, India",0.91849071
male,cohab,"M#1G, Pakistan",1.172327636
male,cohab,"M#1G, Bangladesh",0.598287999
male,cohab,"M#1G, Caribbean",0.062930667
male,cohab,"M#1G, African",0.556240383
male,cohab,"M#1G, Other",0.239568717
